twitts,sentiment
@EdMercer Very well said by Piaget ,1
I'm packing to go home to Boston...Yay!!! ,1
@james__buckley i hope ouve got your suncream on coz me and @Amanda21crook got very burnt at the beach yesterday  x,0
"@alroker hi Al, I'm near Lake George NY. Frost last night. Covered flowers &amp; veggie plants. June 1st &amp; frost happens. We're moving. ",1
"summer ball amazing however feeling like death, sitting in bed with a cuppa watching the Office ",1
@thehurricaneee  u look like a hot tamale ,1
@WAYKNEE AHHH SAME ,0
"@vicentemendoza agree  am still on ep10. oh well, i've heard about that suicide thingy too. that's sad. well, i ? yi jung-ga eul tandem!",1
Im soo exhausted I feel sick  Cant do this Anymore,0
@princesita015 - London is one of the most amazing cities I have ever been to ,1
@anonyw haha yea sha   nggak di officialin kesel abis :p,0
Just left Brooklyn. Bumping the new Sarah White.  it soundz fly Don Cuco y Ms. Blanca. Goodluck en Espana!!,1
@balmainbazaar agree with you about facehunter  embarrassing representation. compare to swedes who all look like they were born stylish.,0
about to watch saw iv and drink a lil wine ,1
"@stoshad i almost bought a bullpen hat today, but thought i might look too douchey  i feel like all the possibilities are me somehow ",0
"Urgh. Been playing my game for about an hour and my computer decided it needs to restart,before i could get a chance to save. ",0
"@pdfloral I miss having a retail store. It was a lot of work, almost like having another kid. But loved being my own &quot;shop girl&quot;. ",1
@stevenleedawson I missed the vodka and chinese food? what?!?!?! ,0
chips and milk don't go together ,0
I did already  haha,1
Reading my 8 Days.. ,1
@jackyan Sounds a good solutions heh! ,1
Hey Fam!! ,1
@teemwilliams Hope you have a great show tonight! I'm sure you will though!! Feels like I havent seen u perform live in aggess ,0
"uploading photos.   (on: Facebook, &amp; Friendster... Myspace later.)",1
My poor little girl has a cold..... And I need my sleep ,0
Meet my new best friend  http://twitpic.com/67tsv,1
"@HotJane yeah, um Jane, the only un-boring eye candy around there I'm sure is you, hon'! ",1
just got back from Canberra... now watching So You Think You Can Dance ,1
goin to sleeping but sad beacose tomorrow have sports ,0
@bngr Chesterfield ave. is the main road all the way through. From Heuston (Main gates) to the left isn't being used ,1
@CHILfreebies That sucks   Have you thought about a franchise type business?  I do this: http://bit.ly/1864ml,0
@princesammie.... i just joined @honeymagazine. I like that website. Couldnt find you to add you as a friend ,0
@icaruswingz  The cunt.,0
just got this weeks copy of R&amp;R... oh wait... oops  nevermind its Billboard...,0
@ericakelly01 LOL I was. ,1
goodnight!  that dodger game really burned my wallet and me :/,1
@vanunu YES WE DO. WHAT HAPPENED BABY? ,0
"@howie_d you're gonna take good care of that little baby and he's gonna be a strong boy, that's for sure ",1
"attempting to sleep.  Hopefully, a good day tomorrow. ",1
"@RenBlink182 ok i'll come on msn in a bit , im off to the chippy in a mo to get my dinner lol, speak to u laters ",1
@mishmash878 well have a good week and hope the hand feels better ,1
"so excited !! starting tomorrow, yal need to call me SOPHOMRE ! haha, peace  saw kim sang bum ! on tv.haha",1
@TynzBoomPow do you think I'm crazy? I like her songs too! I got rid of them recently and I regret it. ALOT! ,0
@DavidArchie: I went to watch your concert with David Cook.. both of you are good singers.. ,1
Physics is actually really awesome  Just sayin'!,1
@tonyprice hey good job again 2nyt. My friends luvd u! Im ur pimp now.. LOL ,1
"@DTPHULP  lol, me too....    You do know that the sound of your voice is great ?  We only need to do some euh fine-tuning... ",1
@OMJitsSarax3 I can make things better ,1
"ed mcmahon nooo, also and accident at the airport, &quot;structural failure&quot;  AND i got called in to work all day im tired as fvck i didnt slp",0
@DarthSLR  gmail is  not working for me either ,0
Time to head out and sort the broken HP printer I've only had for a couple months at Currys ,0
"Hmm, So 2 more weeks until the answer of who made the FSDT is annouced ",1
HAHA just when i was about to talk shit about college life it made me laugh  good save mtv,1
I hate sleepovers with shannon ,0
At Mount Zoomer makes me think of [last] summer ,0
My life made into this comic.... tear    http://is.gd/1aQ8r,0
@friendley im new at this too. lol im just trying to get as many people to follow me check out this site though acemansworld.com its cool ,1
heading home so no internet again for the next couple of days. ,0
"@Jonas_Dreamgirl Getting ready for tonight (Y) Waiting for my nail polish to dry, then gotta do my hair&amp;&amp; makeup  xoxo",1
hates that he had to babysit for a while and missed the last bus to Carlisle until 11-ish and will now most likely miss the Smiths fest! ,0
No Sims 3 today  Perhaps Monday then ,0
"going to see ground zero. i dont wanna go, reasons ",0
@mmmicaela ha i know ,1
@jamescantbeseen IMY2! I'm still sick. Sicker than yesterday. ,0
"Thank god Nyai's operation was successful  here I am, lying on my bed, still sleepy cant sleep. -_-. datarock ,rock on!",1
painting my nail ,0
@SexyCityMag I want to but I'm not sure ,0
@anc153 Luckyyy. There are apparently no Robeks in the entire state of PA ,0
@Renato71 good morning! ,1
@Nisher Yeah yeah? How the heck are you anyway? Sastch it up again this year? I had to bail out for lack of expenses ,0
"@yelyahwilliams Hayley, I'm yer biggest fan! Come to the Philippines, please! ",0
@tim339  i suppose haha,1
watching an interview with my one true icon... Karl Lagerfeld. He amazes me. I love him &amp; all his work ,1
after a night of dancing and pretty shoes i have blistered feet  question is was ut worth it!,0
"Hoping the old voice pulls through with trumps tonight, not feeling tip top. CAPESIDE will have fun tonight ",1
"Inexplicably CREEPED OUT right now. Something about my house is scary, and I'm home alone, too. ",0
in college on a beautiful day like this :O:O !!! not amused one bit  xx,0
ugh i ate too much today. i now have a tummy ache. ,0
@ciaobella6 YAY!! its about time ,1
Loving the hot chicken wings at KFC.  It's finger lickin good ,1
asfuwegharegu hangovers = ,0
i have my algebra final tomorrow ,0
It's after midnight and it has been a loooooong day. Did I mention my kid's out of school now?  Whew-Why can't I have that kind of energy?,1
"@Kathryn17 I don't know you that well (yet), or do I? ",1
@ryanj81 That's how I am! ,0
Not a single tweet in 3hours... I think all the birds been shot ,0
My baby is now officially off to middle school! ,0
"@WelshDragon72 tell that to Jordi Chandler who described his cock, warts n all ",0
is losing hope fast ,0
@justbreathex lian ,1
@RobMader Do you ever sleep??  ,1
i'm at the office trying to finish up so i can get out of here and head out to bahama breeze ,1
Trying to keep up with the Perez/Will i am fued   xxxx,0
 now I found the final &amp; right song  http://bit.ly/urtkr,1
Just found 'You'll be in my heart' by Phil Collins on my ipod  tarzan soundtrack rules xD wondering if anybody actually reads all this xD,1
Just reading about opportunities to walk with a llama - and feel calmer  http://www.getactivewithanimals.com/walkwithllamas.html,1
uhoh  didnt hear oven bell go off. shortcrust pastry officially dead . gotta start again ,0
@vallovetwilight Kudos too you doll! LOL! ,1
Just made some new friends in Miami at laughing buddah... Now hanging out with them n topher  http://twitpic.com/6v7qc,1
"Tsk , daddy so emo now !  HAHAHA",0
"@ThingsMomsLike o wow, huge prize! congrats to her ",1
"Is at camp, his job, it is full of religious nuts ",0
@wide_receiver rubbish ,0
"ive had the best weekend in a long time, im suffering now though  xx",0
@eddiekemp that does suck  im following u ;) ily,0
@sputuk Surely that's the Audi TeeHee then  #failedcarmodels (via @Chapla1n) - or the Yugo Angiggle?,1
Can't sleep and have to be up way early tomorrow ,0
@backstreetboys Brian you'are so adorable and funny   (groundctrl live &gt; http://ustre.am/X1C),1
@jessako i can't wait to see the finished product ,1
Missin my baby.... ,0
@lauradman   Sorry Laura... maybe you can catch a nap later???  Hopefully??,0
@ddlovato http://demilovatosource.net/ YOUR #1 UK/LONDON FANSITE  I KNW UR GNA LOVE IT!... ill shw u when u get here  &lt;3,1
@TheRealRouga im sooooo happy!! I missed my Rouga  WHEN are we chillin!!!,0
A piece of plastic fell off my iPhone 3G. It's the tiny piece between the silent button and the volume buttons. I lost it  ,0
sitting at work... not wanting to work... ,0
@rollingcherry why wasn't there a &quot;zugabe&quot;? ,0
My gal used 2 do dat @scholarette #onthelow I hide his keys and cell phone just to get him to stay longer ,0
Is up for getting ready for work excited  to start the day ,1
@Princess_Han i got told it was happening and decided not to go about an hour before  wish i did now- i thouht they sung so what =|,0
"DISAPOINTED IN MYSELF, I GOT NOTHING ACCOMPLISHED THIS WEEKEND BESIDES CATCH UP ON SLEEP  GOD IS LOVE, GOD IS GREAT ALL THE TIME!!!!!",0
Looking forward to getting flat keys today ,1
"Hair, meet your soulmate- Vidal Sassoon.  - http://tweet.sg",1
I'm a selfish person and a mean daughter...I guess there are some things you never grow out of ,0
@lisjustice  #davethinkslisgaynohomo #rotflmao,1
Still a lot of life into these old bones  http://bit.ly/gNsSa,1
@MatthewAdamDiaz i guess i just need to learn to walk again ,0
"@paolakoala only 5 miles, but I'm surrounded by very steep and long hills ",0
@carriemrobison got any more? On the Rocks please? I love picnic jazz... Our area doesn't do that in the summer. ,0
@AndySalmon Don't forget you CAN have coffee if you are gonna get a workout in...BST day! ,1
lost my keys at the mall... took me 45 mins to find them ,0
Woke up kinda warm with a sore throat - allergies? Or [gasp] swine?!? Maker here I come ,0
"Whenever possible, watch ADHD people clean. It's fun! ",1
"@FizzyDuck hi ! I would suggest music of my electro project *** http://bit.ly/12KoF0 *** fresh, kickin', different! free dl &amp; have fun ",1
Something's going down tonight ,1
at temporary spaces with the love of my life. ,1
"@ebassman I'll be there in a hot minute, yo! I know u miss me... Lol!  See ya soon!!",1
@feverishpoptart: i dont know. my car is costing me $1000 instead of the $300 we had anticipated. ,0
There is nothing to do for the next hour here.  i want to just get on the plane and get to Buenos Aires!,0
having an apple ,1
@BobbiBillard A large number 14 to go please. ,1
@aneshaisaplus This is my creative time. That is y I'm up.  Wut r uuuuuu doing up miss thang?,1
"@helbro @hicke  OS 3.0 will be available on June 18th, 01:00 local time. That's 1pm on the 17th in New York and 1900 in central Europe. ",0
"@techcommdood Er, just you? ",1
nothing better than a good cup of coffee ,1
chillin with amanda...cool beans lol ,1
"bad day , i feel sad ",0
@CacheShantel night ,1
why has everyone only got 2 exams left yet i still have 4 ?! gaaaah no fair! ,0
"surprisingly, i cant wait for @ashleytisdale s new album. i listened to the preview and it sounds great. ",1
And the fact that I couldn't spell ridiculous this morning should further prove how out of it I actually am. ,0
"right now i am texting and on facebook. and being super bored. if you got my number, call me or text me! ",1
"cars,,,,cars....cars.....I need one. ha ha. The one I found last night, that I wanted so bad! is now sold. And not to me ",0
Aidan nooooooooooooooooo  Diversity or Julian to win!!!! Susan best not!!!! ï¿½ï¿½,0
no more maggie  we will miss her.,0
@TurboLisa hNBzbJh?hBxb'zjsjjshshann I replied ,0
@MissKellyO I have sore eyes from cooking onions and have a chest infection - great huh? Hope you are well ,1
"Kuja: Calling Zidane a womanizing idiot who doesn't know how to run  Life is fun, is it not?",1
This is a status update to twitter from ICE  Timestamp: Mon Jun 15 13:46:40 CEST 2009,1
There goes the bump  #NASCAR #truckseries,1
@ddlovato  I wish. When am I ever gonna go to one of your shows?,0
@gabflat It was Hot n Cold by Katy Perry. I know I'm supposed to ~*hate*~ her and such...but that song just works for right now ,1
Exhausted.  Only Monday ,0
"@ElaineEllis wow, that's an intense sushi plate! I'm so sad I missed the dinner! ",0
@blueinkstains That will have to do   I odn't think absinthe is good for breastfed babies anyhow.,0
@erin82883 i wouldn't but i have to be. work.  did you just get off work?,0
@norafayerberg I take it you wont be there? ,0
@blakeeligh I heard about this on CBC this morning.  I was crying along with you. ,0
@flaimster yeah - that falls into that 10% (along with rollerskating) ,0
"Ahh my bed feels so good!! Back kinda hurts again!!  Lost at Phase 10 tonight, but Kimba lost worse!! ;) Haha Good Night everyone!!",0
@juneninth exactly ,0
"@MrChrisP what's up Chris OMG d00d how R U.. I suck at spelling d00d. Always had, always will..  .. #Phish ..",0
@TheChelseaStaub haha i do that sometimes too...lol we all have moments ,1
is bored ! can't wait till tomorrow ! ,1
@JTShea No. I remember the first time I've seen this episode.That night I could not sleep. So depressive and sad Futurama episode. ,0
Hi everyone!! gonna work all day long.... yeah it's ashamed! Of course there will be tweets!! ,1
going to Oakland tonight...yay! can't wait to see my oaktown girls ,1
no more rye on the weekend  ,0
@SelenaJoey u r soo cute joey plezzzzzzzzzz follow me!! ,1
"@ctz stop, I'm not going to pax  I don't want to hear how awesome it's going to be.",0
@mvshaw currently unemployed but frantically searching.  I've applied so many places with no luck.  Any ideas?  ,0
Back in beautiful Nashvegas! Good to be home. ,1
@JetBlue Munchies Mix! Had it on my last JetBlue flight ,1
"@FortyDeuceTwits thats how kuz looked after she won. i know she is reserved, but she didnt look very excited. and poor dina ",0
"@shalabhchaudhri  Btw ,socializing is work itself. It is not an easy achievement to master it. But you know that already ",1
"@gato_anesama What's mean? Did I hurt your feelings?  I'm sure your situation will get better, as mine hopefully will. ",0
@ChelisaMontique I don't know that one ,0
@tradeshowdispla Form Fifty Five is back! Yay! ,1
@julieallinson hb! ,1
I love it when you wake up to a good news ! don't you ?  http://annecresci.blogspot.com/,1
my mom was supposed 2 be home an hour ago..... ,0
Is at Old Chicago having some Woodchucks with Steph ,1
Out of my favorite rum.  http://radar.net/c/eBCl,0
"@simondsaid my brother and i both have it, he more than i ",1
"@gapinvoid hey hugh, fixed the facebook-app, somewhat  http://apps.facebook.com/gapingvoid",1
@Disklabs it is shockingly boring isn't it! I am sure I could count the on track passes since lap 1 on one hand ,0
@xCemeteryDrivex http://twitpic.com/6fmyh - Frank looks damns sexy. SO Does Mikey &amp;&amp; Gerard. ,1
I take back what I said about summer thunderstorms. Still no power ,0
@BatJosh awww haha if you say soooooo ,1
Windstream's email is almost as annoying as dealing w/ that damn bank. ,0
@jasonmitchener happy abt ur neck.. sry bout ur dad... my dad died from emphasema... he was a lifelong smoker...  it wasnt in his sleep ,0
http://twitpic.com/6t1bp - cut my bangs a bit too short ,0
Happy Mothers Day to all your moms! ,1
God dammit! Why won't this cold go away!!  I am miserable.,0
I broke a 1000 posts and didn't notice! Congrats me and my verbal diarrhea ,1
Battery dying. ,0
makin food before i leave..  yum! next time i tweet will prolly be from arizona so idk when it will be.. =/,1
"@praveenjoshi dude, you are in public domain! ",1
"probably going to see them again in Austin tomorrow night, thanks to Ed. ",1
Can't find my id ,0
HUGE Thunderstorm!!!! w00p w00p!!! ,1
LOL WHY AM I STILL AWAKE. too excited/nervous for ducks. ,0
@brandiei thanks! Finally something that I can smile about ,1
"I'm at work but it doesn't start until 11, so now I'm an hour early and drenched. ",0
@mitchelmusso think you can do a cd signing on the east coast? AHA. ,1
@brother_rat Hi..Yes you would have FTP access.  This isnt a twitterhawk reply ,1
@gapscott OMG how did you guess?? Me and Tinkerbell are eating some nachos ,1
"@karla_martin76 nope i will be working fri, sat, mon, tues ",0
eating at coldstone ,1
"@Leeann_Gucci wat$ wrong with u$, old friend$ ",0
Sister swined up now too poor sis   Due to my recent recovery will be staying far far away from my family for another week,0
Thunder woke me up! ,0
This weather is making me in a bad mood ,0
@isabellaxxcsi &quot;franzne&quot; still my old account (on tg).  hmm. i think nothing's new with me. haha! still a jobros fan. ) how about youu?,1
being tormented by my cruel and sadistic office mates ,0
Waiting in line at the bank  it's taking forever  ,0
"@therealsavannah sweetie i just saw your cover of Battlefield,its amazing.like always  your such a great singer! Xoxo-NGA",1
@xo_mcflyandjb haha thats awesome!! loved it  NOW I WANT HINTS ,1
@chubbystewart  Congrats Tony!!!  One million in the pocket!  And you looked great doing it.  ,1
"@ModelMandyLynn My current favourites are Life, House and formerly Boston Legal. I guess I enjoy sarcasm ",1
@jamestubb did you like the film? i really want to see it but everyone tells me everyone else says it's terrible ,0
"ok list of browsers to download today, Safari, Chrome &amp; Firefox. ",1
Saturdaayyyyyyyy! But i have no moneyyyy  SUCKS to be me,0
Ikea with Bradley looking at baby things ,1
"@trataka Hi James, @Banksyart is now at @Banksyart2 - he's been posting there since having probs with his @Banksyart account. ",1
"@JackAllTimeLow Where have you been tonight? Alex, Rian, Vinny, and Danny have already joined us &amp; we miss you  stickam.com/woahitssarrah",0
&quot;a friend is someone who walks in when the whole world walks out&quot; - cute. ,1
@OffRoad_Dude only wishes he was as good as me! ,1
"Watching WIS through antenna. No cable yet. I'll sure miss you in the future, rabbit ears ",0
bottega louie with moms and broke the bank at the bakery...i tried all those damn macarons! @madmojo alliteration is fun ,1
Finally leaving. Then might go to the mall. After that I have to fiind something to do for a few hours AND THEN movies ,1
"@pottymouthmama eBay  had to drive an hour to get it, but worth the cheapness.",1
waiting for my trampolin ,1
"@ChadTheElder UR welcome! I miss ya! but, I understand family first  hope you do a state fair show. I might just be persuaded to come out.",1
Man june is an expensive month... ,0
"@bkkrakora ew, i used to get &quot;suicides&quot; in mid. school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too. ",0
Aww! My daddy called me! ,1
Love me some Gotti's Way ...I see yU Deb ,1
I don't feel very well today &amp; I don't know why ,0
@emokidsloveme LOL - righto! I'm with you on that one ,1
"@Just2CUsmile Awww Iris, I'm sorry you are having such a rough month   (((HUGS)))",0
"@LipstickNYC hmmm i owed you a story yesterday correct?  if so, blame that on teaching and the massive bday party thrown.  extension boss?",0
My poor finger.  http://bit.ly/13Ec93,0
should i go to my formal? i really don't know ,0
"@rgoodchild The last search I put in TweetDeck ,now keeps tweeting a result every min;&amp; I can't get rid of it no matter what I do  Also..",0
So who ended up number #1 for West Covina Lanes Showtime bowling league?  That's right...Team #4...that's us!  That was a long 30 weeks ,1
@ErinMabe I can't sleep either... very sick this evening... ,0
@DianaWyatt  There are a couple of Gordon Lightfoot songs that they haven't got on Blip.I might sue them lol ,1
preparing for going out tonight... please please nooo raiiin!! me and my luck ,0
@eliiiiza Woolworths Geelong West. My local. ,0
"getting ready... omgosh, so nervous ",0
A guy on a walkie talkie just swore at me...  People are such meanies...,0
watching the universe at historny channel. and talking with my ex girlfriend ,0
@reneehendricks what game you playing there? read your post.  *hugs*,0
I cant watch anythgin till tonight ,0
its sunnnnnnnnnnnnnnny! definately a day for a BBQ  (via @Kaaayleigh),1
found out yesterday im such a hard person to have in ur life  wat can i say? at least ur thinking about me ;),0
@Kacica That is not funny  I'm not an elephant! btw. Nice circus! http://bit.ly/Vzwjg Go visit it ;).,0
@de_luv: I need my boo. ,0
@angel9293 Then I'll be like RAPE RAPE HALEY IS TOUCHING MY SPECIAL PLACE!!! ,0
@goldstatus south america or europe? both have their share of attractive singles ,1
Punching bags are my new best friend ,1
"@phatelara nice?? so if I do celebrate my bday there, you must come!!  ",1
away to schoooooool. BLAH too early ,1
@kamikazeemcee Oh and I would've liked your pants down joke. ,0
@TareshMonchel thanks! I'll try my best.... Same 2 u ,1
My friend michelle from work. Very fun! ,1
"CONANNN O'BRIENNNN!!!  ...I've missed you, old friend!  lol",1
new @mashable iphone app in the appstore now... big fan  http://tinyurl.com/dyr6dh,1
is recovering from food poisoning ,0
@charltonbrooker Its fucking awful ,0
@bethkilpatrick I left my chocolate syrup in your truck.  And right now I have SO MUCH MILK.,0
"aveda, all day, then hopefully some pool time ",1
Who'S mitchell? Mustard donuts?   ?ellohveeE!,1
"@whiteywitters I reallly want to go, but I dunno who I'd go with! Sounds amazing though  xxxxxxxxx",1
@thenurulh yes yes.. so true. so expensive! ,0
@xxkassyxx oh my hoppus! yes!!!! i'll bring the gummie bears ,1
"Good night tweeps ! If I can't sleep, I'll twolla back ",1
"2.5hrs and first nightshift is over!!!  then 4 more to go... Trying to keep busy, but running out of things to do.",1
"first sunday off in AGES. family channel &amp; breakfast in bed, you are mine ",1
"&quot;Pokerface&quot; is in my head, and won't go away   Trousers... hehe.",0
Met ling naar Hotel New York 4 lunch! ,1
"#followfriday @neiltring, @Whatever_Ista, @missdmaree, @cleverrtia, @jareed007, @thisisScoman, @suzysmiles all have great tweets! ",1
@jesscorrie aww  yeah YOU BETTER COME jk  i have solos tomorrow!!!!,0
@the_crooked_toe Poynt does look good. It's not for the uk though. ,0
"@nettabrielle and when you find that bf I hope he has a brother,cousin or friend just as dope  for me of course lol",1
@livelaiqared I hate the fact that I'm not currently situated in that region ,0
@yam9972 woooo i will do ,1
I am trying to figure out m.slandr.net... Twitter Mobile does not work on my phone (bummer) ,0
@bfox11b do your worst ,1
Me too! lol  But my friends are all out having fun.  lol  There is nobody to talk to.,0
"I feel icky today. Sore throat, etc. ",0
@MandyyJirouxx YAYYAYYAYYAYYAYAYAYAYAAYYYYY!  hey beautiful.,1
is disapointed with the outcome of her weetabix cake ,0
"Loving these hoes. I'm swag, I'm surfin.. Kim is NOT clean like my detergent.  Rotflmfao @kyoungblood6971",1
@joeypage hahha Your dad sounds awesome... Mines bald ,0
@AlexLuker PS: I miss chatting to your sexy manly self. ,1
@GwenTundermann @corinnahoffman missed you two &amp; Lenara today  work is taking it's toll. I will definitely be there next time!,0
Windows Vista SP2: internet access with fix ip address still won't work  DHCP works flawless. #vista,0
is soooooooooooooo excited to be a god aunt!!! ,1
listening to the rain while grilling out tonight - and it's smelling good ,1
@CheryleLapitan heyy im feeling much better.. still super swollen ,0
@hananahbanana i thought it was alrite.i'll b at tennis 2nite but got geography first so mite b a bit tired. 2hrs of sitting still  haha,0
@deanlk That's what I said about my Stanton ATM.6 monitors - which sadly are languishing in a cupboard due to no room to set up ,0
At the mall with mumsie  - http://tweet.sg,1
@mrBuchananToYou NO! I just lost too!!! ,0
@Fightycat Haven't seen it. I think there's a body shop in a mall near me.  Will check it out next tim!,1
@hawaiigirl81 aw thank you! sorry Im a lil late on that one for some reason I can't get your @ replies  *sad*,0
"@sunkistcami sorry to eavesdrop, but we have tons of cool stuff for engineers (aerospace included!)  http://giftsforengineers.com",1
@ebassman really wish I could be there with you  seeing you in Atlanta was awesome! Cleveland is on babe! HAHA,0
@tia_luvsday26 omg yu def shulda done it fool ahaha. next time yo ,1
Just got asked to go to my friend's house. Means I have to get soaked walking to hers  can't wait to get a car!,0
Oh! The vocabulary word for today is obedient: A Sensual Service Submissive should always strive to be obedient.  Right Master? ,1
@trevorbboy  dude I was being weird and im sry idk why but u make me stutter and feel good inside,1
"Back in work after a few days off...calculating how many days left until I can retire...Dang it,its a biggie ",0
What a bummer   I have Oreos but no milk. What did I do to deserve such punishment?,0
@itsjay_yadigg chillllinnn lookin for somethign 2 dooo ,1
@nappyfro you're crazy Jerry! I've been showin love... You just don't notice when mini muffin tweets anymore! ,0
@TheEllenShow just remember all the scary movies  w/garbage disposal's before retrieving the spoon ,1
@H_I_M sure thing- working on it with the rework of the website ,1
"@MajorDodson This is wide open, but beautiful nonetheless, even tho I didn't understand a lot of it LOL.. I will reread with a fresh head ",1
This #WRH tenant had a severe case of the &quot;while you're here's&quot;  that gets kinda annoying after the sixth or seventh one in one stop ,0
"At work, and loving it! Today is going to be awesome, I can tell. ",1
@chicchick1862 good call  mmmmss,1
Too nice a day to be cooped up at work  need to devise an intricately woven escape plan !,0
@re303 Congrats!!! Bella misses you ,0
is upset Petco doesnt sell fish bowls that fit over your head ,0
@colingrady subversion? I wish. we were using CVS. ,0
@officialmomsen it actually sounds really pathetic on here.. ,0
"@Tunnelman well, good morning then ",1
@CalebFTSK please don't shave your head!	 ,0
"@joltonline  Thanks , will report anything I find from this fine day of gaming ",1
I'm on my way home. What do u know about Sat OT? ,1
@carol_carter1 @BriansSexMonkey awww thanks I feel so special *blushes* KTBSPA  #BSB,1
@Moobert04 Hahaha.....make a WS mix! ,1
Studing 4 finals  Wish me luck See you then!!! ,1
"Oceans Eleven isn't nearly as entertaining as I thought, just makin me miss having someone around ",0
Even though this sweet chilli cheese has a real kick to it it's surprisingly moreish. Shame no port ,0
"@Silksmom click on the name and you can see the profile - I had two followers...one was cable, the other was cell phones - all spam  ",0
@sarah_marina  I'm sorry. Damn all that Donnie loving got you exhausted! Check with DR. asap!,0
"Why did the weather channel tell me it was going to be sunny? I am walking in the rain, hearing thunder and seeing lightening ",0
I'm just about to set off for York ,1
suntan lotion gives me a beard of spots... strong fragrances make me break out  stupid sun i HATE you!,0
@robsteadman i dont think the bbc should be paying anything towards it ,0
Good Day! GoodDAY! GOODDAY2U TODAY!!! It's A NEW Day!The Lord IS My Shepherd~I SHALL NOT LACK!! Is this 4 U2??!!  YES! JustAgree!Matt18:19,1
@fashion081 girllll love story i'm not even going anymore too many indecisive people cant function like that ,0
Sitting with friends in an Italian restaurant. Love it   http://bit.ly/fDlkZ  http://twitpic.com/6u8zv,1
"@mikegayle I know, and now it seems the summer is already over... ",0
@rachaface year that i lost my grandfather ,0
@mishkalamushka yum! wish someone would make me homemade custard ,0
"@tommcfly tom not worry about chile concert, fans were more than happy anyway, i0m from chile ",1
This is a status update to twitter from ICE  Timestamp: Mon Jun 15 10:46:51 CEST 2009,1
is trying to find people she knows on twitter...quite unsuccessfully...how come nobody twitters? ,0
so excited for the new JB album ,1
"@NeazMH Bummer.  Still, I think the key is to find an instructor who can work with you, as well as start working out in private at home.",0
The only good thing about tonight was an oreo cookout shake...back to studying for my exam tomorrow ,0
@tweetygurl75 The Twilight books are amazing  Are you enjoying so far? Hope so xx,1
"Bought ANOTHER bloody Rover, must be mad!  - http://mobypicture.com/?ucbqp4",1
should have learned something for english.. but didn't do it ,0
Headed to DC for the weekend and then off to NYC!!!! Can't wait to see my bff!!!!  ,1
@juicyjade you know you love it! ,1
@Bellarrr http://twitpic.com/3pfsn - AWWWWH  /steals,1
Are you on myspace? Add me: http://www.myspace.com/crochetinghands I love new friendships. ,1
Whoopsy daisy!!! Not good  http://twitpic.com/6tsrs,0
@pinchejuan1 I'll accept you ,1
I got laughed at for requesting july 15 off work to see harry potter: hbp.  i &lt;3 harry potter &amp; this is going is be the best one yet.,0
@TheRell sorry late tweet =/ my phones been messing up...good day to you too love ,1
@johnnnaa yeah. real soon! ,1
@lalalara74 u right about the stankface... I second that fo sho ,0
Paying bills and doing housework.....and eating cake ,1
home alone! Cyndi took Bella to a bday party and I have nothing to do! Anyone wanna hang out? ,0
I'm sick with a bad cold or some sort of bronchitis ,0
How sad  Britney Remembers the Late Ed McMahon http://bit.ly/92usV,0
REALLY WISHIN i was in Cali.  1. For Taco Shop is San Diego (YUM!) and 2. For the Jay-Z/Eminem show is LA. (Sighh),0
@hothotpotato I can't drive  haha. I can't see it happening to be honest.,0
